date,handle,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 19, 2020 at 08:01PM",@millermeeks,"Team Miller-Meeks was out in full force this weekend delivering hundreds of signs across the district! Thank you to everyone for your support! 

If you want a sign, email us at: info@millermeeks2020.com #ia02 https://t.co/XlqqPHiV3c",http://twitter.com/millermeeks/status/1252024499471597568,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 20, 2020 at 12:09AM",@millermeeks,"This will be tremendously helpful for rural hospitals, but will be necessary to employ even more stringent sanitation than usual and have adequate PPE https://t.co/A3qGTMWFwe",http://twitter.com/millermeeks/status/1252087054290345987,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 20, 2020 at 10:19AM",@millermeeks,"Thank you @joniernst for your leadership on this issue but most importantly, your bravery! https://t.co/bUklV2gU6r",http://twitter.com/millermeeks/status/1252240520061075463,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 21, 2020 at 01:51PM",@millermeeks,"As the daughter of a Master Sergeant in the U.S. Air Force, I joined the United States Army at 18, and rose to the rank of Lt. Colonel. I will always keep my oath to defend our nation from all enemies, both foreign and domestic. #ia02 https://t.co/6QbH4ySb73",http://twitter.com/millermeeks/status/1252656327396069379,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 21, 2020 at 04:16PM",@millermeeks,"Let’s get it done! I have small businesses in my district that applied and need help! 
‘We have a deal and I believe we’ll pass it today.’ https://t.co/mRedbfu6yk",http://twitter.com/millermeeks/status/1252692726329548803,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 22, 2020 at 03:26PM",@millermeeks,"Help us #CrushTheCurve by taking an assessment at https://t.co/7w3EZ9hyOm! I’ve completed mine and I challenge Senators @ZachNunn_ia, Rozenboom, Greene, Sinclair and @SenRobySmith to join me! Let’s do this, Iowa! #TestIowaChallenge",http://twitter.com/millermeeks/status/1253042524928835586,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 22, 2020 at 03:54PM",@millermeeks,Thanks Joni! Amplifying 10 amazing women’s voices: @ks_carly @mollysullivanIA @VSnitsarUSA @trudycaviness @SpeakerUpmeyer @SusanBrooksIN @cathymcmorris @DianeBlackTN @virginiafoxx @jackiewalorski https://t.co/lGtJIs2HBo,http://twitter.com/millermeeks/status/1253049445043888130,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 22, 2020 at 07:48PM",@millermeeks,"Thank you to everyone who joined our Tele-Townhall tonight! 

A special thank you to Representative @joeyrep84 and US Senator @joniernst for being our guest. 

A lot of great questions about how we re-open our economy, prepare for the future and pull through this pandemic! #ia02 https://t.co/T6hiJCgAhb",http://twitter.com/millermeeks/status/1253108541885485056,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 23, 2020 at 09:37AM",@millermeeks,"Today is the first day of early voting! 

To maintain social distancing, I’m encouraging everyone to fill out an absentee request form and mail it to your county auditor! For more information on how to vote securely by mail, visit our website: https://t.co/VERSj396uM #ia02 https://t.co/UWGtMQI7C9",http://twitter.com/millermeeks/status/1253317087780536321,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 23, 2020 at 05:10PM",@millermeeks,Important to consider: https://t.co/jKIq4kgXSc,http://twitter.com/millermeeks/status/1253431098769469441,FALSE,,FALSE,0,,,FALSE,
"April 23, 2020 at 07:16PM",@millermeeks,Good need on the research front: https://t.co/4Ln383YDnF,http://twitter.com/millermeeks/status/1253462766922366978,FALSE,,FALSE,0,,,FALSE,
"April 23, 2020 at 10:03PM",@millermeeks,Congratulations @TristanWirfs74! https://t.co/tqhGxlmkYg,http://twitter.com/millermeeks/status/1253504908080316416,,,FALSE,,,,FALSE,
"April 24, 2020 at 10:41AM",@millermeeks,"Happy 33rd Birthday, Jonathon! Your dad and I are so proud of you! https://t.co/G8zd3VJYvP",http://twitter.com/millermeeks/status/1253695469752025090,,,FALSE,,,,FALSE,
"April 24, 2020 at 11:20PM",@millermeeks,Including the farmers..well said! https://t.co/wdDuEFB5SQ,http://twitter.com/millermeeks/status/1253886566893789186,,,,,,,,
"April 25, 2020 at 10:01AM",@millermeeks,"Thank you General Vander Linden for your support! 

“I appreciate that Mariannette has always maintained conservative positions on all of the issues that matter to Iowans...” #ia02  https://t.co/u3L7nkliPk",http://twitter.com/millermeeks/status/1254047923740033024,,,,,,,,
"April 27, 2020 at 10:04AM",@millermeeks,"RT @IAFieldReport: State Sen. @millermeeks has been elevated to the ""Contender"" level of the @NRCC 2020 Young Guns program. 
https://t.co/QXgpvT2qO3 #IA02",http://twitter.com/millermeeks/status/1254773360715722766,,,,,,,,
"April 27, 2020 at 12:40PM",@millermeeks,"Our campaign is being recognized by the @NRCC for our strength and organization! #ia02 

The voters of the 2nd district are ready to send a conservative Iowan who will never quit on them to Congress! 

Help us continue the #MMMomentum and donate at https://t.co/XMRwjG0bSz https://t.co/r4AKZwAcA3",http://twitter.com/millermeeks/status/1254812646542540800,,,,,,,,
"April 27, 2020 at 01:35PM",@millermeeks,"@ebranstad @IAFieldReport @NRCC Thanks Eric and I hope you and all your family (including Mom, Chris and Dad, Ambassador 😊) are healthy! I wish they were stateside but I’m sure you stay in close digital contact.",http://twitter.com/millermeeks/status/1254826573771034624,,,,,,,,
